ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-6004303,Source1,2,03-12-2021 19:22,03-12-2021 20:48,43.106647,-76.251574,43.106836,-76.253573,0.102,NYSDOT - Region 3: Crash on I-690 westbound Exit 5 - State Fair Boulevard; Van Vleck Road; CR 80 (Geddes) All lanes closed,I-690 W,Syracuse,Onondaga,NY,13209,US,US/Eastern,KSYR,03-12-2021 18:54,33,26,70,29.61,10,SW,8,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-153741,Source2,2,27-09-2016 12:55,27-09-2016 13:40,33.692108,-84.490196,,,0,Slow traffic due to accident on GA-154 Arthur Langford Pkwy Eastbound at Campbellton Rd.,Mount Gilead Rd SW,Atlanta,Fulton,GA,30311,US,US/Eastern,KFTY,27-09-2016 12:53,84.9,,51,29.93,10,SW,6.9,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3204161,Source2,3,24-11-2017 17:14,24-11-2017 17:43,38.223011,-85.751022,,,0,Accident on I-65 Southbound at Exit 134 KY-61 Arthur St.,Dr Martin Luther King Jr Expy N,Louisville,Jefferson,KY,40217,US,US/Eastern,KSDF,24-11-2017 16:56,57.9,,30,29.83,10,South,11.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5641859,Source1,2,03-04-2021 09:26,03-04-2021 17:51,34.990193,-85.202181,35.001335,-85.210698,0.908,Slow traffic on I-75 N from Ringgold Rd to exit [2] due to accident.,Ringgold Rd,Chattanooga,Hamilton,TN,37412,US,US/Eastern,KCHA,03-04-2021 09:53,43,43,62,29.76,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-217006,Source2,2,22-06-2016 14:23,22-06-2016 14:53,40.739689,-74.065132,,,0,Right lane blocked due to accident on US-1 Trk Northbound at US-1 Pulaski Skwy.,Tonnele Ave,Jersey City,Hudson,NJ,7306,US,US/Eastern,KJRB,22-06-2016 14:15,86,,25,29.82,10,NW,5.8,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-5154059,Source1,2,18:00.0,27:00.0,42.175155,-93.570584,42.296041,-93.570336,8.352,Slow traffic on I-35 N from IA-221/CR-E18/Exit 123 (I-35) to IA-175/Exit 133 (I-35) due to accident.,I-35 N,Story City,Story,IA,50248,US,US/Central,KAMW,15-01-2022 04:53,14,0,80,29.31,2,NNE,13,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1751074,Source2,4,13-10-2019 06:38,13-10-2019 09:58,30.725689,-86.567825,,,21.09000015,Right lane blocked due to accident on I-10 Westbound between Exit 70 FL-285 and Exit 56 FL-85 Ferdon Blvd.,FL-8 W,Crestview,Okaloosa,FL,32539,US,US/Central,KCEW,13-10-2019 06:53,63,63,90,29.85,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-357409,Source2,2,13-03-2017 17:34,13-03-2017 18:04,28.551081,-81.608017,,,0.01,Accident on FL-50 Colonial Dr at County Hwy-545 Avalon Rd.,W Colonial Dr,Winter Garden,Orange,FL,34787-4220,US,US/Eastern,KORL,13-03-2017 17:53,72,,78,29.88,10,West,8.1,0.01,Light Rain,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3125898,Source2,2,13-12-2017 14:04,13-12-2017 14:48,33.914497,-79.825119,,,0.930000007,Accident on SC-403 Bethel Rd between Baldwin Rd and Lowders Ln.,N Bethel Rd,Scranton,Florence,SC,29591-5620,US,US/Eastern,KCKI,13-12-2017 13:55,46.4,44.3,22,29.97,10,SW,4.6,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4730642,Source1,2,03-02-2022 03:12,03-02-2022 04:29,42.261148,-83.289387,42.264674,-83.270682,0.987,Incident on I-94 EB near ECORSE RD Right lane blocked. Expect delays.,Beech Daly Rd,Taylor,Wayne,MI,48180,US,US/Eastern,KDTW,03-02-2022 02:53,22,9,78,29.62,7,NNE,14,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-4634858,Source1,4,59:46.0,14:46.0,39.096598,-94.595058,39.096461,-94.594406,0.036,Incident on I-670 near GENESSEE ST Road closed. Take alternate route.,I-670 E,Kansas City,Jackson,MO,64108,US,US/Central,KMKC,27-07-2022 14:54,85,85,63,29.15,10,SSW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5677652,Source1,2,15-10-2021 16:41,15-10-2021 17:04,37.314681,-120.522936,37.316494,-120.52788,0.299,Stationary traffic from Cooper Ave to Beachwood Dr due to accident., Ashby Rd,Merced,Merced,CA,95348-4001,US,US/Pacific,KMCE,15-10-2021 16:53,81,81,18,29.9,10,S,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1480192,Source2,2,04-06-2020 08:06,04-06-2020 08:36,36.8489,-76.180313,,,0,Accident on VA-403 Newtown Rd at Cleveland St.,Newtown Rd,Virginia Beach,Virginia Beach,VA,23462-1717,US,US/Eastern,KORF,04-06-2020 07:59,79,79,77,29.9,8,SW,8,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6164440,Source1,2,16-10-2021 12:25,16-10-2021 14:35,37.540593,-77.388996,37.530055,-77.36652,1.431,Stationary traffic on I-64 E from VA-33/Nine Mile Rd/Exit 193 (I-64) to Laburnum Ave/Exit 195 (I-64) due to accident.,I-64 E,Richmond,Henrico,VA,23223,US,US/Eastern,KRIC,16-10-2021 12:54,82,82,60,29.53,10,SSW,18,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1467334,Source2,2,12-05-2020 07:26,12-05-2020 08:09,36.260471,-86.677147,,,0,Accident on Cheyenne Blvd at Amboy Dr.,Cheyenne Blvd,Madison,Davidson,TN,37115-4206,US,US/Central,KBNA,12-05-2020 07:53,51,51,71,29.67,10,SSW,5,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6089410,Source1,2,04-11-2021 11:00,04-11-2021 15:03,40.326154,-79.58524,40.326693,-79.586529,0.077,Incident on PA-130 WB near SPANISH VILLA DR Drive with caution., College Ave,Jeannette,Westmoreland,PA,15644-6604,US,US/Eastern,KLBE,04-11-2021 10:50,37,37,75,29.07,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6077735,Source1,2,17-07-2021 17:56,17-07-2021 18:23,35.92085,-119.281968,35.935471,-119.285366,1.028,Slow traffic on CA-99 N from Exit 67 (CA-99) to Bishop Dr (CA-99) due to accident.,CA-99 N,Earlimart,Tulare,CA,93219,US,US/Pacific,KPTV,17-07-2021 17:56,101,101,20,29.36,10,NW,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2447038,Source2,2,09-11-2018 17:52,09-11-2018 18:21,29.750311,-95.374031,,,0,Accident on Louisiana St at Gray St.,Louisiana St,Houston,Harris,TX,77002-8624,US,US/Central,KMCJ,09-11-2018 17:55,53.6,,77,30.24,10,NNE,9.2,,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Day,Day,Day
A-3743134,Source1,2,14-03-2022 14:56,14-03-2022 16:59,27.049736,-82.398479,27.050932,-82.397359,0.108,Slow traffic on FL-45 - US-41 S from Annex Rd to Pointe Loop Dr due to accident., Tamiami Trl S,Venice,Sarasota,FL,34293-5079,US,US/Eastern,KVNC,14-03-2022 14:53,79,,34,30.2,10,,,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3127474,Source2,3,13-12-2017 17:16,13-12-2017 18:01,34.266998,-118.443596,,,0,#3 lane blocked due to accident on I-5 Northbound at CA-118.,I-5 N,Mission Hills,Los Angeles,CA,91345,US,US/Pacific,KWHP,13-12-2017 15:55,77,,9,29.97,10,SE,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-6927602,Source1,2,25-10-2020 05:36,25-10-2020 07:19,30.482779,-84.308985,30.480919,-84.316745,0.48,Incident on I-10 WB near EXIT 199 Drive with caution.,FL-8 W,Tallahassee,Leon,FL,32312,US,US/Eastern,KTLH,25-10-2020 05:45,67,67,100,29.8,0.5,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2528745,Source2,2,18-10-2018 10:13,18-10-2018 10:43,34.172234,-118.389229,,,0,Two lanes blocked due to accident on CA-170 Southbound at Exits 6B 7 Colfax Ave.,CA-170 S,Valley Village,Los Angeles,CA,91607,US,US/Pacific,KBUR,18-10-2018 09:53,71.1,,25,30.06,10,Calm,,,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3426202,Source1,2,13-12-2016 11:37,13-12-2016 17:37,32.87882,-96.51348,32.87397,-96.52393,0.693,At Dalrock Rd/Exit 64 - Accident.,US-67 S,Rowlett,Rockwall,TX,75088,US,US/Central,KF46,13-12-2016 11:35,51.1,,100,30.08,7,North,9.2,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3560163,Source1,2,03-02-2017 05:02,03-02-2017 11:02,41.983286,-88.070945,41.981617,-88.0697,0.132,At Maple Ave - Accident., E Irving Park Rd,Roselle,Dupage,IL,60172-2007,US,US/Central,KORD,03-02-2017 04:51,14,1.2,64,30.43,10,NW,10.4,,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-3752700,Source1,2,23:00.0,49:48.0,39.84160781,-75.40246367,39.83526781,-75.42163367,1.107,Incident on I-95 SB near HIGHLAND AVE Expect delays.,I-95,Chester,Delaware,PA,19013,US,US/Eastern,KPHL,21-03-2022 10:54,56,56,29,30.19,10,WNW,13,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6440394,Source1,2,08-01-2021 22:32,09-01-2021 00:43,28.49326,-81.43301,28.50914,-81.401966,2.181,Slow traffic on I-4 E from Florida's Tpke/Exit 31 (I-4) to US-441/US-17/US-92/33rd St/Exit 33 (I-4) due to accident.,I-4 E,Orlando,Orange,FL,32839,US,US/Eastern,KORL,08-01-2021 22:53,53,53,59,29.91,10,NW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-6884650,Source1,2,30-10-2020 00:01,30-10-2020 01:16,30.457558,-81.635936,30.457604,-81.636159,0.014,Incident on I-295 NB near N MAIN ST Road closed. Take alternate route., N Main St,Jacksonville,Duval,FL,32218,US,US/Eastern,KJAX,30-10-2020 00:56,69,69,75,29.82,10,W,12,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-917314,Source2,2,31-08-2021 08:15,31-08-2021 08:44,40.65395,-73.567139,,,0,Restrictions due to accident on Meadowbrook Pkwy Southbound at Exit M9 / Merrick Rd.,E Merrick Rd,Freeport,Nassau,NY,11520-4054,US,US/Eastern,KFRG,31-08-2021 07:53,76,76,79,29.72,10,NNW,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6717192,Source1,2,30-10-2020 13:29,31-10-2020 00:22,34.142466,-80.91272,34.139954,-80.913215,0.176,Stationary traffic from Quinton Ln to Brook Hollow Dr due to accident., Quinton Ln,Columbia,Richland,SC,29229-8518,US,US/Eastern,KCUB,30-10-2020 13:53,72,72,43,29.85,10,VAR,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-758398,Source2,3,31-12-2021 18:17,31-12-2021 18:46,37.479435,-76.918846,,,0,One lane blocked due to accident on I-64 Eastbound at Exit 220 VA-33 Eltham Rd.,I-64 W,Lanexa,New Kent,VA,23089,US,US/Eastern,KFYJ,31-12-2021 18:15,54,54,94,29.92,10,SSE,8,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-7184602,Source1,2,18-04-2020 09:52,18-04-2020 13:52,45.49558,-119.76666,45.49558,-119.76666,0,At Rhea Creek Rd - Accident., Heppner Hwy,Ione,Morrow,OR,97843,US,US/Pacific,KHRI,18-04-2020 09:53,63,63,33,29.16,10,W,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6548921,Source1,2,05-02-2021 21:35,05-02-2021 23:11,45.946841,-108.151438,45.947538,-108.151439,0.048,Incident on 16TH RD near ASH ST Drive with caution., S 16th Rd,Ballantine,Yellowstone,MT,59006,US,US/Mountain,KBIL,05-02-2021 21:34,13,-6,81,26.21,0.25,NE,22,0,Snow / Windy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3095127,Source2,2,30-01-2018 08:49,30-01-2018 09:49,34.094963,-80.972267,,,0,Accident on Powell Rd at Pisgah Church Rd.,Pisgah Church Rd,Columbia,Richland,SC,29203-9351,US,US/Eastern,KCUB,30-01-2018 08:53,37.9,30.9,51,30.29,10,NW,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5380195,Source1,2,14-03-2022 22:34,15-03-2022 00:41,27.258644,-82.520791,27.26055,-82.522618,0.173,Stationary traffic on FL-45 - US-41 N from Beneva Rd/Vamo Rd (US-41) to FL-72/Stickney Point Rd (US-41) due to accident., S Tamiami Trl,Sarasota,Sarasota,FL,34231-4806,US,US/Eastern,KSRQ,14-03-2022 22:53,69,69,65,30.22,10,E,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-1612657,Source2,3,26-01-2020 15:49,26-01-2020 16:18,30.347134,-81.668282,,,0,Center lane blocked due to accident on I-95 Northbound at Exit 353D FL-114 8th St.,I-95 S,Jacksonville,Duval,FL,32209,US,US/Eastern,KJAX,26-01-2020 15:56,66,66,28,30,10,NNW,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4789095,Source1,2,47:00.0,56:35.0,33.78653169,-118.0941546,33.77985169,-118.0917146,0.482,Accident from 7th Street exit [23] to CA-22 W.,I-405,Long Beach,Los Angeles,CA,90815,US,US/Pacific,KLGB,15-12-2022 16:53,60,60,47,30.03,10,WNW,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-5149929,Source1,2,20-11-2022 19:23,20-11-2022 20:05,32.698097,-117.145272,32.694341,-117.148877,0.334,Stationary traffic on CA-75 S from I-5 (San Diego-Coronado Bay Bridge) to CA-75/4th St (San Diego-Coronado Bay Bridge) due to accident., Main St,San Diego,San Diego,CA,92113-2129,US,US/Pacific,KSAN,20-11-2022 19:51,62,62,44,30.1,10,NE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-4895162,Source1,2,30-06-2022 14:41,30-06-2022 15:56,37.557247,-77.491308,37.557718,-77.49226,0.061,Incident on EXETER RD near CARY ST RD RICH Drive with caution., Cary Street Rd,Richmond,Richmond City,VA,23221,US,US/Eastern,KRIC,30-06-2022 14:29,80,80,69,30,10,NE,14,0,Light Rain with Thunder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4978519,Source1,2,02-11-2022 15:32,02-11-2022 16:49,25.519049,-80.388107,25.518305,-80.3881,0.051,Incident on SW 122ND AVE near SW 268TH ST Drive with caution.,SW 122nd Ave,Homestead,Miami-Dade,FL,33032,US,US/Eastern,KHST,02-11-2022 15:55,85,85,71,30.05,10,E,10,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7575618,Source1,2,26-06-2018 17:27,26-06-2018 23:27,33.46271,-112.17497,33.46249,-112.16439,0.61,At 51st Ave/Exit 139 - Accident. in the right lane.,Pearl Harbor Memorial Highway,Phoenix,Maricopa,AZ,85043,US,US/Mountain,KGEU,26-06-2018 17:55,107.6,,5,29.77,10,SSW,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6341271,Source1,2,19-01-2021 22:36,19-01-2021 23:52,39.330486,-77.674165,39.331986,-77.686485,0.667,Incident on US-340 WB near MM 2 Drive with caution.,US-340 W,Knoxville,Frederick,MD,21758,US,US/Eastern,KFDK,19-01-2021 22:35,30,30,75,29.78,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-671143,Source2,2,19-03-2022 14:07,19-03-2022 14:37,37.26907,-121.946762,,,0.289999992,Entry ramp to Ca-17 Northbound from White Oaks Rd lane blocked due to crash.,White Oaks Rd,Campbell,Santa Clara,CA,95008-6723,US,US/Pacific,KSJC,19-03-2022 13:53,57,57,67,29.96,10,NNW,14,0,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2938715,Source2,3,12-03-2018 18:25,12-03-2018 18:54,37.293591,-80.099846,,,0,Lane blocked and left hand shoulder blocked due to accident on I-81 Southbound at Exit 137 VA-112 Wildwood Rd.,I-81 S,Salem,Salem,VA,24153,US,US/Eastern,KROA,12-03-2018 18:54,37.9,28.2,70,29.84,10,NW,18.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3413312,Source1,2,04-03-2016 05:41,04-03-2016 11:41,41.06076,-81.45923,41.06341,-81.4506,0.485,At OH-18/Market St/Exit 26 - Accident.,I-76 E,Akron,Summit,OH,44312,US,US/Eastern,KAKR,04-03-2016 05:42,28.9,25.2,89,30.01,2.5,NE,3.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-4982099,Source1,2,23-07-2022 16:36,23-07-2022 18:49,40.751151,-73.774946,40.736074,-73.767786,1.107,Incident on I-295 near I-295 Drive with caution.,Clearview Expy S,Oakland Gardens,Queens,NY,11364,US,US/Eastern,KLGA,23-07-2022 16:51,94,94,31,29.94,10,S,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
