Unnamed: 0,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Feature_Category,Year,Month,Day,Hour,Minute,Second,Hour_Category
4138259,A-4169406,Source1,2,2022-04-12 10:59:00,2022-04-12 11:11:00,40.847247,-73.933296,40.849429,-73.940505,0.406,Slow traffic on I-95 S - US-1 S - Trans-Manhattan Expy W - US-9 S from Amsterdam Ave/Harlem River Dr (George Washington Bridge (Lower Level)/I-95) to US-9/Henry Hudson Pkwy (George Washington Bridge (Lower Level)/I-95) due to accident.,I-95 S,New York,New York,NY,10033,US,US/Eastern,KNYC,2022-04-12 10:51:00,51.0,51.0,80.0,29.89,10.0,W,8.0,0.02,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Crossing,2022.0,4.0,12.0,10.0,59.0,0.0,Morning
7056002,A-7105332,Source1,2,2020-03-06 10:01:00,2020-03-06 12:35:33,37.562303,-122.325088,37.562303,-122.325088,0.0,At CA-82/S El Camino Real - Accident., E 4th Ave,San Mateo,San Mateo,CA,94401-4002,US,US/Pacific,KSFO,2020-03-06 09:56:00,56.0,56.0,67.0,30.03,10.0,S,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Crossing,2020.0,3.0,6.0,10.0,1.0,0.0,Morning
5856549,A-5900390,Source1,2,2021-11-12 07:59:30,2021-11-12 10:01:20,25.84071,-80.313281,25.840036,-80.31418599999998,0.073,Slow traffic from NW 69th Ave to Hialeah Expy due to accident., NW 74th St,Miami,Miami-Dade,FL,33166,US,US/Eastern,KMIA,2021-11-12 07:53:00,76.0,76.0,94.0,30.07,10.0,WSW,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,Station,2021.0,11.0,12.0,7.0,59.0,30.0,Morning
6021681,A-6066482,Source1,2,2021-12-13 19:16:00,2021-12-13 20:44:54,34.795836210084936,-118.85748982372829,34.81324621008493,-118.88444982372827,1.946,Incident on I-5 NB near HOUSE 8800 Drive with caution.,I-5,Lebec,Los Angeles,CA,93243,US,US/Pacific,KSDB,2021-12-13 18:53:00,39.0,27.0,89.0,25.37,0.25,S,29.0,0.01,Light Rain / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2021.0,12.0,13.0,19.0,16.0,0.0,Evening
6443002,A-6490560,Source1,2,2021-01-27 22:42:00,2021-01-27 23:59:03,33.727201,-117.834795,33.723231,-117.837365,0.312,Incident on I-5 SB near CA-55 Expect delays.,CA-55 S,Tustin,Orange,CA,92780,US,US/Pacific,KSNA,2021-01-27 22:53:00,51.0,51.0,68.0,30.01,10.0,E,3.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2021.0,1.0,27.0,22.0,42.0,0.0,Evening
6370710,A-6417676,Source1,2,2021-02-08 15:13:00,2021-02-08 16:59:00,38.883651,-77.056824,38.88981500000001,-77.06390400000002,0.5710000000000001,Slow traffic from Memorial Ave (George Washington Pkwy) to I-66/US-50 (George Washington Pkwy) due to accident.,George Washington Memorial Pkwy N,Washington,District of Columbia,DC,20024,US,US/Eastern,KDCA,2021-02-08 14:52:00,38.0,33.0,39.0,30.38,10.0,S,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2021.0,2.0,8.0,15.0,13.0,0.0,Afternoon
4129167,A-4160247,Source1,2,2023-01-03 10:43:00,2023-01-03 12:12:15,28.479327,-81.287997,28.479507,-81.288218,0.018,Incident on HOFFNER AVE near S GOLDENROD RD Expect delays.,Hoffner Ave,Orlando,Orange,FL,32822,US,US/Eastern,KORL,2023-01-03 10:53:00,77.0,77.0,66.0,30.07,10.0,S,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Crossing,2023.0,1.0,3.0,10.0,43.0,0.0,Morning
5400046,A-5441070,Source1,2,2022-10-04 13:44:00,2022-10-04 16:02:01,37.668355,-122.152808,37.668598,-122.152403,0.028,Accident on Baumann Ave from Phil Dr to Worthley Dr., Baumann Ave,San Lorenzo,Alameda,CA,94580-1802,US,US/Pacific,KHWD,2022-10-04 13:54:00,67.0,67.0,68.0,29.96,10.0,VAR,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2022.0,10.0,4.0,13.0,44.0,0.0,Afternoon
4961825,A-4999446,Source1,2,2022-01-23 14:07:00,2022-01-23 14:48:00,42.440394,-82.91954100000002,42.424443,-82.928901,1.2009999999999998,Stationary traffic on I-94 W - Edsel Ford Fwy W from Vernier Rd/Exit 225 (I-94) to Moross Rd/Exit 224 (I-94) due to accident.,Edsel Ford Fwy W,Harper Woods,Wayne,MI,48225,US,US/Eastern,KDET,2022-01-23 13:53:00,24.0,14.0,55.0,29.16,10.0,N,10.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2022.0,1.0,23.0,14.0,7.0,0.0,Afternoon
7316638,A-7366001,Source1,2,2019-11-01 20:01:00,2019-11-01 21:16:46,34.018906,-118.173251,34.018906,-118.173251,0.0,At I-710/Long Beach Fwy - Accident.,I-710 N,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2019-11-01 19:52:00,66.0,66.0,42.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Junction,2019.0,11.0,1.0,20.0,1.0,0.0,Evening
6435152,A-6482662,Source1,2,2021-01-03 22:15:17,2021-01-04 02:18:33,35.049729,-85.30745300000002,35.048427000000004,-85.307443,0.09,Incident on WALNUT ST near E 6TH ST Drive with caution., E 6th St,Chattanooga,Hamilton,TN,37402,US,US/Eastern,KCHA,2021-01-03 21:53:00,36.0,36.0,89.0,29.36,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night,Crossing,2021.0,1.0,3.0,22.0,15.0,17.0,Evening
4095873,A-4126680,Source1,2,2022-11-30 20:17:30,2022-11-30 20:52:00,38.80093217,-77.20849156,38.81803217,-77.22169156,1.379,Stationary traffic on I-495 N from Southern Terminus (I-495 Exp/Capital Beltway Exp) to Braddock Rd (I-495 Exp/Capital Beltway Exp) due to accident.,Capital Beltway,Springfield,Fairfax,VA,22151,US,US/Eastern,KDAA,2022-11-30 19:55:00,47.0,43.0,32.0,29.9,10.0,WNW,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2022.0,11.0,30.0,20.0,17.0,30.0,Evening
6838395,A-6887582,Source1,2,2020-12-11 01:02:00,2020-12-11 03:02:54,39.631301,-84.19867099999998,39.632131,-84.201231,0.148,Incident on MIAMISBURG CENTERVILLE RD near YANKEE ST Drive with caution.,Yankee St,Dayton,Montgomery,OH,45459,US,US/Eastern,KMGY,2020-12-11 00:53:00,43.0,38.0,74.0,28.95,10.0,S,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Traffic_Signal,2020.0,12.0,11.0,1.0,2.0,0.0,Night
6668047,A-6716757,Source1,2,2020-12-28 10:26:00,2020-12-28 13:04:43,39.627979,-75.670858,39.6278,-75.670638,0.017,Incident on WALTHER RD near PULASKI HWY Drive with caution., Walther Rd,Newark,New Castle,DE,19702-4302,US,US/Eastern,KILG,2020-12-28 10:51:00,43.0,38.0,68.0,30.08,10.0,SSW,9.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Crossing,2020.0,12.0,28.0,10.0,26.0,0.0,Morning
6108123,A-6153404,Source1,2,2021-05-30 13:59:00,2021-05-30 14:27:30,37.18436,-93.317816,37.179959,-93.318045,0.304,Slow traffic on MO-13 from W Grand St (S Kansas Expy/MO-13) to W Battlefield St (S Kansas Expy/MO-13) due to accident., S Kansas Expy,Springfield,Greene,MO,65807-1457,US,US/Central,KSGF,2021-05-30 13:52:00,67.0,67.0,54.0,28.85,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Traffic_Signal,2021.0,5.0,30.0,13.0,59.0,0.0,Afternoon
4924258,A-4961572,Source1,2,2022-01-18 07:10:00,2022-01-18 09:17:05,27.893754,-82.731873,27.894615,-82.72880699999997,0.196,Slow traffic on FL-688 - FL-693 from W Rena Dr to 138th Ave due to accident., Ulmerton Rd,Largo,Pinellas,FL,33771-4944,US,US/Eastern,KPIE,2022-01-18 06:53:00,44.0,38.0,76.0,30.18,10.0,N,12.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Day,Day,Day,Station,2022.0,1.0,18.0,7.0,10.0,0.0,Morning
5829781,A-5873452,Source1,2,2021-12-04 14:50:11,2021-12-04 17:39:00,28.35741,-81.49181,28.357537,-81.497093,0.321,Stationary traffic on FL-536 from FL-417/Central Florida Greenway (World Center Dr/FL-536) to Kissimmee Vineland Rd (World Center Dr/FL-536) due to accident., World Center Dr,Orlando,Orange,FL,32821-5408,US,US/Eastern,KMCO,2021-12-04 14:53:00,77.0,77.0,40.0,30.01,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2021.0,12.0,4.0,14.0,50.0,11.0,Afternoon
6214429,A-6260301,Source1,2,2021-08-10 18:19:59,2021-08-10 20:39:58,25.942296,-80.30827,25.943203,-80.306889,0.106,Slow traffic on FL-860 from Bobolink Dr to NW 188th Ter due to accident.,NW 186th St,Hialeah,Miami-Dade,FL,33015,US,US/Eastern,KOPF,2021-08-10 17:53:00,88.0,88.0,63.0,30.09,10.0,ESE,13.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,Station,2021.0,8.0,10.0,18.0,19.0,59.0,Evening
3873275,A-3902333,Source1,2,2022-12-13 10:17:00,2022-12-13 12:30:00,26.207456,-80.13994699999998,26.182151,-80.152948,1.925,Stationary traffic on I-95 S from FL-814/Atlantic Blvd/Exit 36 (I-95) to FL-870/Commercial Blvd/Exit 32 (I-95) due to accident.,I-95,Fort Lauderdale,Broward,FL,33334,US,US/Eastern,KFXE,2022-12-13 09:53:00,75.0,75.0,76.0,30.05,10.0,N,3.0,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Junction,2022.0,12.0,13.0,10.0,17.0,0.0,Morning
5797720,A-5841193,Source1,2,2021-12-03 11:36:00,2021-12-03 14:13:50,43.604953,-116.35241,43.604021,-116.354925,0.141,Stationary traffic on ID-55 from S Brooklyn Ave to E Springwood Dr due to accident., S Brooklyn Ave,Meridian,Ada,ID,83642,US,US/Mountain,KMAN,2021-12-03 11:35:00,36.0,36.0,100.0,27.59,0.0,CALM,0.0,0.0,Fog,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Crossing,2021.0,12.0,3.0,11.0,36.0,0.0,Morning
5451825,A-5493204,Source1,2,2021-03-14 08:58:00,2021-03-14 14:32:00,40.03863,-76.357,40.03967100000001,-76.364316,0.394,Slow traffic on PA-462 from College Ave (Columbia Ave/PA-462) to PA-741/Rohrerstown Rd (Columbia Ave/PA-462) due to accident., Columbia Ave,Lancaster,Lancaster,PA,17603-4337,US,US/Eastern,KLNS,2021-03-14 08:53:00,43.0,37.0,40.0,29.63,10.0,W,12.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Amenity,2021.0,3.0,14.0,8.0,58.0,0.0,Morning
5218559,A-5258150,Source1,2,2023-01-13 16:14:09,2023-01-13 17:29:10,37.630747,-77.529641,37.630415,-77.527776,0.105,Incident on E PARHAM RD EB near COMMUNICATIONS Drive with caution.,E Parham Rd,Henrico,Henrico,VA,23294,US,US/Eastern,KOFP,2023-01-13 15:54:00,55.0,55.0,47.0,29.48,10.0,NNW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Traffic_Signal,2023.0,1.0,13.0,16.0,14.0,9.0,Afternoon
7667304,A-7716672,Source1,2,2019-04-02 05:48:11,2019-04-02 06:16:45,39.92666,-75.1159,39.92892,-75.11516999999998,0.161,At Atlantic Ave/Exit 4 - Accident. Left lane blocked.,N South Fwy N,Camden,Camden,NJ,08104,US,US/Eastern,KPHL,2019-04-02 05:54:00,34.0,34.0,61.0,30.39,10.0,SE,3.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Junction,2019.0,4.0,2.0,5.0,48.0,11.0,Night
6074297,A-6119397,Source1,2,2021-06-23 23:27:30,2021-06-24 00:06:30,25.832417,-80.206067,25.834129,-80.208579,0.196,Slow traffic on US-441 N - US-441 S from I-95 S to NW 64th St due to accident.,I-95 S,Miami,Miami-Dade,FL,33150,US,US/Eastern,KOPF,2021-06-23 23:53:00,79.0,79.0,77.0,30.1,10.0,E,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Traffic_Signal,2021.0,6.0,23.0,23.0,27.0,30.0,Evening
4153946,A-4185217,Source1,2,2022-11-12 20:58:30,2022-11-12 22:11:30,32.785321,-97.321081,32.767697,-97.318597,1.226,Stationary traffic on US-287 S - I-35W S from TX-183/Exit 54 (I-35W) to TX-121/Exit 52 (I-35W) due to accident.,I-35W,Fort Worth,Tarrant,TX,76106,US,US/Central,KFTW,2022-11-12 20:53:00,42.0,42.0,62.0,29.55,10.0,N,3.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Junction,2022.0,11.0,12.0,20.0,58.0,30.0,Evening
